(-43.03506, -22.337858)
(-43.035034, -22.33784)
(-43.034943, -22.337734)
(-43.034874, -22.337652)
(-43.034863, -22.33764)
(-43.034676, -22.337563)
(-43.034527, -22.337599)
(-43.034367, -22.337648)
(-43.034077, -22.337702)
(-43.033546, -22.33793)
(-43.03315, -22.338095)
(-43.032894, -22.338203)
(-43.032463, -22.338648)
(-43.032322, -22.33878)
(-43.032207, -22.339052)
(-43.031994, -22.339327)
(-43.03184, -22.33945)
(-43.031483, -22.339748)
(-43.031277, -22.339844)
(-43.031, -22.340075)
(-43.030792, -22.340197)
(-43.030758, -22.340214)
(-43.030598, -22.340271)
(-43.030376, -22.340399)
(-43.030216, -22.340511)
(-43.029945, -22.340515)
(-43.029728, -22.340525)
(-43.029602, -22.340553)
(-43.029583, -22.340487)
(-43.029602, -22.340553)
(-43.029728, -22.340525)
(-43.029945, -22.340515)
(-43.030216, -22.340511)
(-43.030376, -22.340399)
(-43.030598, -22.340271)
(-43.030758, -22.340214)
(-43.030792, -22.340197)
(-43.031, -22.340075)
(-43.031277, -22.339844)
(-43.031483, -22.339748)
(-43.03184, -22.33945)
(-43.031994, -22.339327)
(-43.032207, -22.339052)
(-43.032322, -22.33878)
(-43.032463, -22.338648)
(-43.032894, -22.338203)
(-43.03315, -22.338095)
(-43.033546, -22.33793)
(-43.034077, -22.337702)
(-43.034367, -22.337648)
(-43.034527, -22.337599)
(-43.034676, -22.337563)
(-43.034863, -22.33764)
(-43.034874, -22.337652)
(-43.034943, -22.337734)
(-43.035034, -22.33784)
(-43.03506, -22.337858)
(-43.035275, -22.337997)
(-43.03542, -22.338089)
(-43.03562, -22.338245)
(-43.03562, -22.338257)
(-43.035847, -22.338491)
(-43.03605, -22.338547)
(-43.036304, -22.338448)
(-43.03635, -22.338453)
(-43.036385, -22.33845)
(-43.03651, -22.338438)
(-43.03654, -22.338432)
(-43.036793, -22.338469)
(-43.037064, -22.33834)
(-43.037148, -22.33826)
(-43.037334, -22.338154)
(-43.037502, -22.338068)
(-43.037518, -22.338062)
(-43.037617, -22.338015)
(-43.037716, -22.337923)
(-43.037743, -22.337914)
(-43.03777, -22.33787)
(-43.037865, -22.337807)
(-43.03798, -22.337763)
(-43.0381, -22.337696)
(-43.03826, -22.337595)
(-43.038425, -22.337507)
(-43.038513, -22.337437)
(-43.038548, -22.337421)
(-43.03862, -22.337387)
(-43.038662, -22.337366)
(-43.03882, -22.337315)
(-43.038826, -22.33731)
(-43.038918, -22.3373)
(-43.038948, -22.337297)
(-43.039005, -22.337301)
(-43.039036, -22.337301)
(-43.039173, -22.337364)
(-43.039238, -22.33743)
(-43.039238, -22.337439)
(-43.039284, -22.337479)
(-43.039383, -22.33757)
(-43.039497, -22.337595)
(-43.039524, -22.337595)
(-43.03959, -22.33759)
(-43.039654, -22.337584)
(-43.039734, -22.33756)
(-43.039814, -22.337545)
(-43.039845, -22.337551)
(-43.03994, -22.337622)
(-43.040073, -22.337551)
(-43.04017, -22.337595)
(-43.04025, -22.337637)
(-43.040337, -22.337706)
(-43.040348, -22.337711)
(-43.04049, -22.337826)
(-43.040512, -22.337835)
(-43.04059, -22.337908)
(-43.04064, -22.338018)
(-43.040653, -22.338032)
(-43.04066, -22.338057)
(-43.04071, -22.33827)
(-43.040714, -22.338285)
(-43.04083, -22.338432)
(-43.040844, -22.338423)
(-43.04045, -22.338718)
(-43.04, -22.339014)
(-43.039364, -22.339094)
(-43.039135, -22.339157)
(-43.038918, -22.339334)
(-43.038506, -22.339582)
(-43.038494, -22.339603)
(-43.038483, -22.339622)
(-43.03808, -22.340075)
(-43.03755, -22.340399)
(-43.037155, -22.340607)
(-43.036785, -22.340822)
(-43.036606, -22.341017)
(-43.036785, -22.340822)
(-43.037155, -22.340607)
(-43.03755, -22.340399)
(-43.03808, -22.340075)
(-43.038483, -22.339622)
(-43.038494, -22.339603)
(-43.038162, -22.339533)
(-43.03773, -22.339458)
(-43.037155, -22.33944)
(-43.03679, -22.339556)
(-43.03652, -22.339682)
(-43.036186, -22.339792)
(-43.035892, -22.33985)
(-43.03577, -22.339947)
(-43.035892, -22.33985)
(-43.036186, -22.339792)
(-43.03652, -22.339682)
(-43.03679, -22.339556)
(-43.037155, -22.33944)
